method,epsilon,leakage_auc,power_lazy,power_spoof,flag_rate_honest,flag_rate_lazy,flag_rate_spoof,n_calib_reps
parameter-diff,,0.5,0.65,1.0,,,,25
unrestricted-behavioral,inf,0.5045855808293578,0.5099999999999999,1.0,,,,25
SEAL,0.05,0.5054781039341092,0.58,0.56,0.2,0.2,0.1,25
SEAL,0.1,0.5054780410553984,0.58,0.56,0.2,0.2,0.1,25
SEAL,0.25,0.5054789179095944,0.58,0.56,0.2,0.2,0.1,25
SEAL,0.5,0.5054788565778123,0.58,0.56,0.2,0.2,0.1,25
SEAL,1.0,0.5054805407573524,0.58,0.5700000000000001,0.2,0.2,0.1,25
SEAL,2.0,0.5054826932949379,0.58,0.59,0.2,0.2,0.1,25
SEAL,4.0,0.5054897861291878,0.58,0.62,0.2,0.2,0.0,25
SEAL,1000000.0,0.5059014384082235,0.58,1.0,0.2,0.2,0.0,25
