method,epsilon,leakage_auc,power_lazy,power_spoof,flag_rate_honest,flag_rate_lazy,flag_rate_spoof,n_calib_reps
parameter-diff,,0.5,0.63,1.0,,,,12
unrestricted-behavioral,inf,0.5040009011449099,0.5900000000000001,1.0,,,,12
SEAL,0.05,0.5047447162525706,0.52,0.5599999999999999,0.0,0.0,0.0,12
SEAL,0.1,0.5047446795270188,0.52,0.5599999999999999,0.0,0.0,0.0,12
SEAL,0.25,0.5047450599847083,0.52,0.5599999999999999,0.0,0.0,0.0,12
SEAL,0.5,0.504745321551895,0.52,0.5800000000000001,0.0,0.0,0.0,12
SEAL,1.0,0.5047451047021798,0.52,0.5900000000000001,0.0,0.0,0.0,12
SEAL,2.0,0.5047446530865313,0.52,0.64,0.0,0.0,0.0,12
SEAL,4.0,0.5047461501696325,0.52,0.66,0.0,0.0,0.0,12
SEAL,1000000.0,0.5038201231464401,0.52,1.0,0.0,0.0,0.0,12
