seed,pdiff_honest,pdiff_lazy,pdiff_spoof,ub_honest,ub_lazy,ub_spoof,ub_leak_honest,seal_eps0.05_lamB_honest,seal_eps0.05_lamB_lazy,seal_eps0.05_lamB_spoof,seal_eps0.05_lamA_honest,seal_eps0.05_lamA_lazy,seal_eps0.05_lamA_spoof,seal_eps0.05_flag_honest,seal_eps0.05_flag_lazy,seal_eps0.05_flag_spoof,seal_eps0.05_leak,seal_eps0.1_lamB_honest,seal_eps0.1_lamB_lazy,seal_eps0.1_lamB_spoof,seal_eps0.1_lamA_honest,seal_eps0.1_lamA_lazy,seal_eps0.1_lamA_spoof,seal_eps0.1_flag_honest,seal_eps0.1_flag_lazy,seal_eps0.1_flag_spoof,seal_eps0.1_leak,seal_eps0.25_lamB_honest,seal_eps0.25_lamB_lazy,seal_eps0.25_lamB_spoof,seal_eps0.25_lamA_honest,seal_eps0.25_lamA_lazy,seal_eps0.25_lamA_spoof,seal_eps0.25_flag_honest,seal_eps0.25_flag_lazy,seal_eps0.25_flag_spoof,seal_eps0.25_leak,seal_eps0.5_lamB_honest,seal_eps0.5_lamB_lazy,seal_eps0.5_lamB_spoof,seal_eps0.5_lamA_honest,seal_eps0.5_lamA_lazy,seal_eps0.5_lamA_spoof,seal_eps0.5_flag_honest,seal_eps0.5_flag_lazy,seal_eps0.5_flag_spoof,seal_eps0.5_leak,seal_eps1_lamB_honest,seal_eps1_lamB_lazy,seal_eps1_lamB_spoof,seal_eps1_lamA_honest,seal_eps1_lamA_lazy,seal_eps1_lamA_spoof,seal_eps1_flag_honest,seal_eps1_flag_lazy,seal_eps1_flag_spoof,seal_eps1_leak,seal_eps2_lamB_honest,seal_eps2_lamB_lazy,seal_eps2_lamB_spoof,seal_eps2_lamA_honest,seal_eps2_lamA_lazy,seal_eps2_lamA_spoof,seal_eps2_flag_honest,seal_eps2_flag_lazy,seal_eps2_flag_spoof,seal_eps2_leak,seal_eps4_lamB_honest,seal_eps4_lamB_lazy,seal_eps4_lamB_spoof,seal_eps4_lamA_honest,seal_eps4_lamA_lazy,seal_eps4_lamA_spoof,seal_eps4_flag_honest,seal_eps4_flag_lazy,seal_eps4_flag_spoof,seal_eps4_leak,seal_eps1e+06_lamB_honest,seal_eps1e+06_lamB_lazy,seal_eps1e+06_lamB_spoof,seal_eps1e+06_lamA_honest,seal_eps1e+06_lamA_lazy,seal_eps1e+06_lamA_spoof,seal_eps1e+06_flag_honest,seal_eps1e+06_flag_lazy,seal_eps1e+06_flag_spoof,seal_eps1e+06_leak,n_calib_reps
675,0.5922185700829002,0.600364046215056,13.740005368904427,0.0069198937314141375,0.005576539437096489,14.179925308225135,0.5038428013248482,76.77958156219407,76.77032847685426,80.78889064232646,0.004273280095454864,0.005295821114953701,11.933101633152075,False,False,False,0.5016332686424578,38.40998079551489,38.400727710175076,42.41928987564724,0.004273280095454864,0.005295821114953701,11.933101633152075,False,False,False,0.5016326287722747,15.388006939716961,15.378753854377242,19.397316019849406,0.004273280095454864,0.005295821114953701,11.933101633152075,False,False,False,0.5016322936021788,7.713666733743419,7.7044136484037065,11.722975813875841,0.004273280095454864,0.005295821114953701,11.933101633152075,False,False,False,0.5016329944123793,3.8758664534048366,3.866613368065116,7.885175533537245,0.004273280095454864,0.005295821114953701,11.933101633152075,False,False,False,0.5016336038125537,1.955790967789775,1.946537882450042,5.965100047922195,0.004273280095454864,0.005295821114953701,11.933101633152075,False,False,False,0.501632049842109,0.9936878521631323,0.9844347668234036,5.0029969322955505,0.004273280095454864,0.005295821114953701,11.933101633152075,False,False,False,0.5016354929530944,-0.04210095568661705,-0.0513540410263455,3.9672081244458037,0.004273280095454864,0.005295821114953701,11.933101633152075,False,False,False,0.504725121367377,25
676,0.5610467687972586,0.5948337972358121,16.49122638844128,0.04960715351836706,0.06300092388356732,13.39430178866395,0.5045994746707518,833.9540639275428,833.9440422139033,838.0248646424939,-0.005164148118997507,-0.00029644219612287375,14.201957307229517,False,False,False,0.5049862857876728,417.4324744236172,417.4224527099772,421.5032751385679,-0.005164148118997507,-0.00029644219612287375,14.201957307229517,False,False,False,0.5049868056128892,167.5172042010998,167.50718248745994,171.58800491605066,-0.005164148118997507,-0.00029644219612287375,14.201957307229517,False,False,False,0.50498720312629,84.20832641465383,84.19830470101395,88.27912712960473,-0.005164148118997507,-0.00029644219612287375,14.201957307229517,False,False,False,0.5049860105860877,42.54704662480967,42.53702491116984,46.617847339760544,-0.005164148118997507,-0.00029644219612287375,14.201957307229517,False,False,False,0.5049861940538112,21.703647755503972,21.693626041864132,25.77444847045485,-0.005164148118997507,-0.00029644219612287375,14.201957307229517,False,False,False,0.5049858271183643,11.2595276453074,11.249505931667558,15.33032836025828,-0.005164148118997507,-0.00029644219612287375,14.201957307229517,False,False,False,0.5049893130051095,0.015511757328349253,0.005490043688509474,4.086312472279229,-0.005164148118997507,-0.00029644219612287375,14.201957307229517,False,False,False,0.5031055581546816,25
677,0.6275563274156677,0.647789930607195,15.227712902679743,0.12582414962232666,0.1464639461067619,16.79959435265374,0.5008881795788086,-91.43593733975345,-91.43252076192921,-88.43338125698945,0.0004294474987754776,0.0023132481665459784,13.088459961436886,False,False,False,0.5006788043774566,-45.761920103458635,-45.75850352563462,-42.75936402069479,0.0004294474987754776,0.0023132481665459784,13.088459961436886,False,False,False,0.5006777821283598,-18.357255741759666,-18.35383916393557,-15.354699658995784,0.0004294474987754776,0.0023132481665459784,13.088459961436886,False,False,False,0.5006782467870401,-9.221952276490793,-9.218535698666722,-6.219396193726915,0.0004294474987754776,0.0023132481665459784,13.088459961436886,False,False,False,0.5006754588349582,-4.653550399714848,-4.650133821890769,-1.6509943169509649,0.0004294474987754776,0.0023132481665459784,13.088459961436886,False,False,False,0.5006778750600958,-2.3679503655042335,-2.3645337876801493,0.6346057172596568,0.0004294474987754776,0.0023132481665459784,13.088459961436886,False,False,False,0.5006832341235422,-1.2226917907946175,-1.219275212970533,1.7798642919692702,0.0004294474987754776,0.0023132481665459784,13.088459961436886,False,False,False,0.5006879426648361,0.010280012862359616,0.013696590686445314,3.0128360956262474,0.0004294474987754776,0.0023132481665459784,13.088459961436886,False,False,False,0.5020566102963407,25
678,0.5724229208139355,0.5831886744341956,13.617614399000146,-0.006104179773643939,-0.006184463178136707,12.051535260063682,0.5065377594533332,-654.5590234249537,-654.5586426246316,-650.8004497544865,-0.0043511195584399285,-0.00293555671664145,11.894741979755302,False,False,False,0.5070969167516479,-327.6438102225165,-327.64342942219463,-323.88523655204955,-0.0043511195584399285,-0.00293555671664145,11.894741979755302,False,False,False,0.5070965145469847,-131.49286413435715,-131.49248333403528,-127.73429046389026,-0.0043511195584399285,-0.00293555671664145,11.894741979755302,False,False,False,0.5070975355280527,-66.10624257736085,-66.10586177703897,-62.347668906893894,-0.0043511195584399285,-0.00293555671664145,11.894741979755302,False,False,False,0.5070964836081644,-33.407562585756445,-33.40718178543457,-29.648988915289507,-0.0043511195584399285,-0.00293555671664145,11.894741979755302,False,False,False,0.5070970095681087,-17.048208456387144,-17.047827656065266,-13.2896347859202,-0.0043511195584399285,-0.00293555671664145,11.894741979755302,False,False,False,0.507097318956311,-8.850934080758186,-8.850553280436309,-5.092360410291248,-0.0043511195584399285,-0.00293555671664145,11.894741979755302,False,False,False,0.5071035376591806,-0.025845672620302747,-0.025464872298421933,3.732727997846638,-0.0043511195584399285,-0.00293555671664145,11.894741979755302,False,False,False,0.507423166611147,25
679,0.5569722564494938,0.5709029426225125,16.72042067938042,-0.025156199448459243,-0.023866086625453413,12.765886583309786,0.5042751679547872,-172.05456412134822,-172.05483280146626,-167.6610701807353,-0.015238882202780673,-0.016319390363479784,13.769781683497945,True,True,False,0.5014517467729205,-86.11839843213674,-86.11866711225463,-81.72490449152389,-0.015238882202780673,-0.016319390363479784,13.769781683497945,True,True,False,0.5014516543461824,-34.55622107733277,-34.55648975745057,-30.162727136719795,-0.015238882202780673,-0.016319390363479784,13.769781683497945,True,True,False,0.5014530715561643,-17.368047150106328,-17.36831583022415,-12.974553209493347,-0.015238882202780673,-0.016319390363479784,13.769781683497945,True,True,False,0.5014531639829023,-8.772548782041751,-8.772817462159589,-4.379054841428779,-0.015238882202780673,-0.016319390363479784,13.769781683497945,True,True,False,0.5014587403960917,-4.472167183833883,-4.472435863951719,-0.07867324322090553,-0.015238882202780673,-0.016319390363479784,13.769781683497945,True,True,False,0.5014636082042903,-2.3173505815616453,-2.3176192616794866,2.0761433590513243,-0.015238882202780673,-0.016319390363479784,13.769781683497945,True,True,False,0.5014793823675663,0.0024994255227692584,0.0022307454049289043,4.39599336613574,-0.015238882202780673,-0.016319390363479784,13.769781683497945,True,True,False,0.5060957282210257,25
680,0.5366688605189132,0.5584307521146352,13.313466733982404,-0.008138384367442237,-0.008218858975124926,13.09078486245508,0.508712409062128,947.9244839892028,947.9344541846192,952.1333777044879,-0.008061989228428173,-0.007788000481371684,13.148133750483215,False,False,False,0.5052691993044698,474.48100035239594,474.4909705478123,478.6898940676812,-0.008061989228428173,-0.007788000481371684,13.148133750483215,False,False,False,0.5052698960100308,190.41227707420603,190.42224726962252,194.6211707894913,-0.008061989228428173,-0.007788000481371684,13.148133750483215,False,False,False,0.5052708653395073,95.7183973066215,95.72836750203797,99.92729102190678,-0.008061989228428173,-0.007788000481371684,13.148133750483215,False,False,False,0.5052711682549685,48.36368164839364,48.37365184381011,52.572575363678936,-0.008061989228428173,-0.007788000481371684,13.148133750483215,False,False,False,0.5052753484883352,24.671821201811525,24.681791397228004,28.88071491709682,-0.008061989228428173,-0.007788000481371684,13.148133750483215,False,False,False,0.5052795590132481,12.800406290565764,12.810376485982234,17.009300005851053,-0.008061989228428173,-0.007788000481371684,13.148133750483215,False,False,False,0.5052874953983355,0.019781741397633185,0.0297519368141003,4.228675456682919,-0.008061989228428173,-0.007788000481371684,13.148133750483215,False,False,False,0.5102082359018374,25
681,0.5652390992088614,0.5804281707881918,11.93695654338736,0.04015986193865957,0.044446289467323756,8.959928950561979,0.5083012727117252,-1371.658344236902,-1371.6551484100605,-1368.7005156974205,-0.005716734600956254,-0.004108723679273931,11.373510678169279,False,False,False,0.5147017153069956,-686.5819112872357,-686.5787154603938,-683.6240827477544,-0.005716734600956254,-0.004108723679273931,11.373510678169279,False,False,False,0.5147019625392995,-275.53224140672546,-275.52904557988353,-272.5744128672442,-0.005716734600956254,-0.004108723679273931,11.373510678169279,False,False,False,0.5147035695492749,-138.5094549169506,-138.50625909010876,-135.55162637746932,-0.005716734600956254,-0.004108723679273931,11.373510678169279,False,False,False,0.5147039094936926,-69.9868100654874,-69.98361423864552,-67.02898152600612,-0.005716734600956254,-0.004108723679273931,11.373510678169279,False,False,False,0.5147081124428587,-35.7045022385687,-35.7013064117268,-32.74667369908741,-0.005716734600956254,-0.004108723679273931,11.373510678169279,False,False,False,0.5147158693563934,-18.526471781821133,-18.523275954979248,-15.568643242339853,-0.005716734600956254,-0.004108723679273931,11.373510678169279,False,False,False,0.5147348444357172,-0.03280785016204997,-0.02961202332016187,2.9250206893192314,-0.005716734600956254,-0.004108723679273931,11.373510678169279,False,False,False,0.5149049402607948,25
682,0.522049411332878,0.549969806383817,13.170614567737626,-0.007724900616983304,-0.005507151869604876,9.937376033387942,0.5059961935033227,1066.7906062215648,1066.7840178099668,1070.2511169944642,-0.003825566119581803,-0.0016487245877232894,12.828001426917838,False,False,False,0.5074133307944483,533.9745845630019,533.9679961514042,537.4350953359015,-0.003825566119581803,-0.0016487245877232894,12.828001426917838,False,False,False,0.5074129340936562,214.28200826635077,214.27541985475307,217.74251903925008,-0.003825566119581803,-0.0016487245877232894,12.828001426917838,False,False,False,0.5074133613098939,107.71297091133714,107.70638249973943,111.17348168423653,-0.003825566119581803,-0.0016487245877232894,12.828001426917838,False,False,False,0.5074139716188047,54.41970133252266,54.41311292092492,57.88021210542203,-0.003825566119581803,-0.0016487245877232894,12.828001426917838,False,False,False,0.5074121101766265,27.756745213938633,27.750156802340896,31.217255986837998,-0.003825566119581803,-0.0016487245877232894,12.828001426917838,False,False,False,0.5074051831704877,14.396586540130738,14.389998128533005,17.85709731303011,-0.003825566119581803,-0.0016487245877232894,12.828001426917838,False,False,False,0.5074035353364282,0.013198106330955885,0.006609694733226177,3.4737088792303297,-0.003825566119581803,-0.0016487245877232894,12.828001426917838,False,False,False,0.5047358140559635,25
683,0.7537632132915413,0.7571224496084153,13.609280117105879,0.022339591198278143,0.021397090714635456,11.803002158087764,0.5003971525496075,-1925.8229011422022,-1925.8182388158798,-1921.8419728636936,-0.0015152357338108686,-0.003997151470518989,12.10551417768871,True,True,True,0.5080394654441015,-963.9735150569697,-963.9688527306469,-959.9925867784608,-0.0015152357338108686,-0.003997151470518989,12.10551417768871,True,True,True,0.5080399571977614,-386.8585339988568,-386.85387167253384,-382.87760572034784,-0.0015152357338108686,-0.003997151470518989,12.10551417768871,True,True,True,0.5080419856816087,-194.47812689972505,-194.47346457340223,-190.4971986212161,-0.0015152357338108686,-0.003997151470518989,12.10551417768871,True,True,True,0.5080427540467023,-98.27212606045998,-98.26746373413711,-94.29119778195103,-0.0015152357338108686,-0.003997151470518989,12.10551417768871,True,True,True,0.5080452435496058,-50.13966207402271,-50.13499974769983,-46.15873379551373,-0.0015152357338108686,-0.003997151470518989,12.10551417768871,True,True,True,0.508052712058316,-26.02165530237535,-26.016992976052464,-22.04072702386638,-0.0015152357338108686,-0.003997151470518989,12.10551417768871,True,True,False,0.5080602727708377,-0.056495148574207,-0.05183282225131954,3.9244331299347657,-0.0015152357338108686,-0.003997151470518989,12.10551417768871,True,True,False,0.5036281585030232,25
684,0.5485223732897476,0.5539706205121859,11.903449844356535,-0.013326308585479285,-0.016737113082176673,12.421720570752006,0.5023053974842665,-654.5824554704636,-654.5835258292155,-651.1891223877558,0.0001840651020656368,0.00031337285801911194,10.537637063905352,False,False,False,0.5035103061589209,-327.6562544873114,-327.65732484606326,-324.26292140460356,0.0001840651020656368,0.00031337285801911194,10.537637063905352,False,False,False,0.5035102753065452,-131.49871566961374,-131.4997860283656,-128.10538258690588,0.0001840651020656368,0.00031337285801911194,10.537637063905352,False,False,False,0.503511046615934,-66.10989643618531,-66.11096679493717,-62.71656335347746,0.0001840651020656368,0.00031337285801911194,10.537637063905352,False,False,False,0.5035126509394625,-33.410117425902946,-33.4111877846548,-30.01678434319508,0.0001840651020656368,0.00031337285801911194,10.537637063905352,False,False,False,0.5035111700254362,-17.050213450614734,-17.05128380936659,-13.656880367906863,0.0001840651020656368,0.00031337285801911194,10.537637063905352,False,False,False,0.5035115711063184,-8.85266356057206,-8.853733919323915,-5.459330477864191,0.0001840651020656368,0.00031337285801911194,10.537637063905352,False,False,False,0.5035160447007728,-0.02727853688279219,-0.02834889563464886,3.3660545458250755,0.0001840651020656368,0.00031337285801911194,10.537637063905352,False,False,False,0.5021310507100443,25
