method,epsilon,leakage_auc,power_lazy,power_spoof,flag_rate_honest,flag_rate_lazy,flag_rate_spoof
parameter-diff,,0.5,0.5972222222222222,1.0,,,
unrestricted-behavioral,inf,0.5200347945271614,0.5,1.0,,,
SEAL,0.05,0.5264870384311094,1.0,0.5416666666666666,0.0,0.9166666666666666,0.0
SEAL,0.1,0.5264870384311094,1.0,0.5416666666666666,0.0,0.9166666666666666,0.0
SEAL,0.25,0.526486965486897,1.0,0.548611111111111,0.0,0.9166666666666666,0.0
SEAL,0.5,0.526489150992623,1.0,0.5555555555555556,0.0,0.9166666666666666,0.0
SEAL,1.0,0.5264911532424318,1.0,0.5555555555555556,0.0,0.9166666666666666,0.0
SEAL,2.0,0.5264792337613997,1.0,0.6180555555555556,0.0,0.9166666666666666,0.0
SEAL,4.0,0.5264778128334481,1.0,0.6527777777777778,0.0,0.9166666666666666,0.0
SEAL,1000000.0,0.5269770507825672,1.0,1.0,0.0,0.9166666666666666,0.0
